ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7392,13,2021-07-25,18:15,Domingo,Athletico-PR,Internacional,4-2-3-1,4-1-4-1,D. Aguirre Camblor,D. Aguirre Camblor,Athletico-PR,estadio joaquim americo guimaraes,2,1,PR,RS,PR
7393,13,2021-07-25,20:30,Domingo,Sport,Ceara,4-2-3-1,4-2-3-1,A. Ferreira,A. Ferreira,-,adelmar da costa carvalho,0,0,PE,CE,-
7394,13,2021-07-26,18:00,Segunda-feira,Juventude,Chapecoense,4-3-3,4-3-3,J. Ribeiro Ventura,J. Ribeiro Ventura,Juventude,alfredo jaconi,1,0,RS,SC,RS
7395,13,2021-07-26,19:59,Segunda-feira,Cuiaba,Corinthians,4-4-2,4-3-3,S. Campos Junior,S. Campos Junior,Corinthians,arena pantanal,1,2,MT,SP,SP
7396,14,2021-07-31,19:00,Sabado,Sao Paulo,Palmeiras,4-4-2,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,-,morumbi,0,0,SP,SP,-
7397,14,2021-07-31,20:00,Sabado,Internacional,Cuiaba,4-4-2,4-4-1-1,J. de Amorim Campos,J. de Amorim Campos,-,estadio jose pinheiro borda,0,0,RS,MT,-
7398,14,2021-07-31,21:00,Sabado,Bragantino,Gremio,4-2-3-1,4-2-3-1,L. Scolari,L. Scolari,Bragantino,nabizao,1,0,SP,RS,SP
7399,14,2021-08-01,16:00,Domingo,Corinthians,Flamengo,4-1-4-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,neo quimica arena,1,3,SP,RJ,RJ
7400,14,2021-08-01,16:00,Domingo,Atletico-MG,Athletico-PR,4-2-3-1,4-2-3-1,A. Cardoso de Oliveira,A. Cardoso de Oliveira,Atletico-MG,mineirao,2,0,MG,PR,MG
7401,14,2021-08-01,18:15,Domingo,Chapecoense,Santos,4-2-3-1,4-1-4-1,F. Diniz Silva,F. Diniz Silva,Santos,arena conda,0,1,SC,SP,SP
7402,14,2021-08-01,18:15,Domingo,Bahia,Sport,4-3-3,4-2-3-1,U. Louzer Filho,U. Louzer Filho,Sport,estadio de pituacu,0,1,BA,PE,PE
7403,14,2021-08-01,20:28,Domingo,Atletico-GO,America-MG,4-2-3-1,3-4-2-1,V. Carmo Mancini,V. Carmo Mancini,-,estadio antonio accioly,1,1,GO,MG,-
7404,14,2021-08-01,20:30,Domingo,Ceara,Fortaleza,4-3-3,3-4-1-2,J. Vojvoda,J. Vojvoda,Ceara,arena castelao,3,1,CE,CE,CE
7405,14,2021-09-02,19:00,Quinta-feira,Fluminense,Juventude,4-3-3,4-3-3,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,maracana,1,1,RJ,RS,-
7406,15,2021-08-06,18:59,Sexta-feira,Sport,Bragantino,4-2-3-1,4-1-4-1,C. Maldonado,C. Maldonado,-,adelmar da costa carvalho,0,0,PE,SP,-
7407,15,2021-08-07,17:59,Sabado,Athletico-PR,Sao Paulo,4-2-3-1,4-2-3-1,H. Crespo,H. Crespo,Sao Paulo,estadio joaquim americo guimaraes,1,2,PR,SP,SP
7408,15,2021-08-07,21:00,Sabado,Palmeiras,Fortaleza,4-2-3-1,3-5-2,J. Vojvoda,J. Vojvoda,Fortaleza,allianz parque,2,3,SP,CE,CE
7409,15,2021-08-07,21:00,Sabado,Cuiaba,Bahia,4-2-3-1,4-1-3-2,L. Cavalcanti,L. Cavalcanti,-,arena pantanal,1,1,MT,BA,-
7410,15,2021-08-08,16:00,Domingo,Juventude,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,Atletico-MG,alfredo jaconi,1,2,RS,MG,MG
7411,15,2021-08-08,16:00,Domingo,America-MG,Fluminense,4-2-3-1,4-2-3-1,R. Machado Marques,R. Machado Marques,America-MG,estadio raimundo sampaio,1,0,MG,RJ,MG
7412,15,2021-08-08,15:59,Domingo,Santos,Corinthians,4-3-3,4-1-4-1,S. Campos Junior,S. Campos Junior,-,estadio urbano caldeira,0,0,SP,SP,-
7413,15,2021-08-08,18:15,Domingo,Ceara,Atletico-GO,4-2-3-1,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,-,arena castelao,0,0,CE,GO,-
7414,15,2021-08-08,18:15,Domingo,Flamengo,Internacional,4-2-2-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Internacional,maracana,0,4,RJ,RS,RS
7415,15,2021-08-09,19:59,Segunda-feira,Gremio,Chapecoense,4-2-3-1,4-4-2,L. de Oliveira Preto,L. de Oliveira Preto,Gremio,arena do gremio,2,1,RS,SC,RS
7416,16,2021-08-14,17:02,Sabado,Bragantino,Juventude,4-3-3,4-2-3-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Juventude,nabizao,1,2,SP,RS,RS
7417,16,2021-08-14,19:00,Sabado,Atletico-MG,Palmeiras,4-2-3-1,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Atletico-MG,mineirao,2,0,MG,SP,MG
7418,16,2021-08-14,21:01,Sabado,Sao Paulo,Gremio,3-4-1-2,4-2-3-1,L. Scolari,L. Scolari,Sao Paulo,morumbi,2,1,SP,RS,SP
7419,16,2021-08-15,16:00,Domingo,Flamengo,Sport,4-4-2,4-2-3-1,U. Louzer Filho,U. Louzer Filho,Flamengo,estadio municipal general raulino de oliveira,2,0,RJ,PE,RJ
7420,16,2021-08-15,16:00,Domingo,Corinthians,Ceara,4-3-3,4-2-3-1,A. Ferreira,A. Ferreira,Corinthians,neo quimica arena,3,1,SP,CE,SP
7421,16,2021-08-15,18:15,Domingo,Bahia,Atletico-GO,4-4-2,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Atletico-GO,estadio de pituacu,1,2,BA,GO,GO
7422,16,2021-08-15,18:14,Domingo,Cuiaba,Athletico-PR,4-4-2,4-2-3-1,A. Cardoso de Oliveira,A. Cardoso de Oliveira,Cuiaba,arena pantanal,1,0,MT,PR,MT
7423,16,2021-08-15,18:15,Domingo,Fortaleza,Santos,3-4-1-2,4-2-3-1,E. Zuma,E. Zuma,-,arena castelao,1,1,CE,SP,-
7424,16,2021-08-15,20:30,Domingo,Internacional,Fluminense,4-4-2,4-3-1-2,R. Machado Marques,R. Machado Marques,Internacional,estadio jose pinheiro borda,4,2,RS,RJ,RS
7425,16,2021-08-16,20:01,Segunda-feira,Chapecoense,America-MG,4-3-3,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,-,arena conda,1,1,SC,MG,-
7426,17,2021-08-21,17:00,Sabado,Atletico-GO,Chapecoense,4-4-2,4-2-3-1,L. de Oliveira Preto,L. de Oliveira Preto,-,estadio antonio accioly,1,1,GO,SC,-
7427,17,2021-08-21,19:00,Sabado,Gremio,Bahia,4-2-3-1,4-1-4-1,B. Lopes,B. Lopes,Gremio,arena do gremio,2,0,RS,BA,RS
7428,17,2021-08-21,21:00,Sabado,Juventude,Fortaleza,4-2-3-1,3-4-1-2,J. Vojvoda,J. Vojvoda,-,alfredo jaconi,1,1,RS,CE,-
7429,17,2021-08-22,11:00,Domingo,Palmeiras,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,Cuiaba,allianz parque,0,2,SP,MT,MT
7430,17,2021-08-22,16:00,Domingo,Ceara,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,-,arena castelao,1,1,CE,RJ,-
7431,17,2021-08-22,15:59,Domingo,Athletico-PR,Corinthians,4-2-3-1,4-2-3-1,S. Campos Junior,S. Campos Junior,Corinthians,estadio joaquim americo guimaraes,0,1,PR,SP,SP
7432,17,2021-08-22,18:14,Domingo,Santos,Internacional,4-2-3-1,4-4-2,D. Aguirre Camblor,D. Aguirre Camblor,-,estadio urbano caldeira,2,2,SP,RS,-
7433,17,2021-08-22,20:30,Domingo,Sport,Sao Paulo,4-2-3-1,4-3-3,H. Crespo,H. Crespo,Sao Paulo,adelmar da costa carvalho,0,1,PE,SP,SP
7434,17,2021-08-23,20:00,Segunda-feira,America-MG,Bragantino,4-2-3-1,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Bragantino,estadio raimundo sampaio,0,2,MG,SP,SP
7435,17,2021-08-23,19:59,Segunda-feira,Fluminense,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,-,estadio vasco da gama,1,1,RJ,MG,-
7436,18,2021-08-28,17:00,Sabado,Sport,Chapecoense,4-2-3-1,4-1-4-1,D. Camargo,D. Camargo,-,adelmar da costa carvalho,0,0,PE,SC,-
7437,18,2021-08-28,19:00,Sabado,Santos,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,estadio urbano caldeira,0,4,SP,RJ,RJ
7438,18,2021-08-28,21:00,Sabado,Gremio,Corinthians,4-2-3-1,4-5-1,S. Campos Junior,S. Campos Junior,Corinthians,arena do gremio,0,1,RS,SP,SP
7439,18,2021-08-28,21:00,Sabado,Palmeiras,Athletico-PR,4-2-3-1,4-2-3-1,A. Cardoso de Oliveira,A. Cardoso de Oliveira,Palmeiras,allianz parque,2,1,SP,PR,SP
7440,18,2021-08-29,11:01,Domingo,America-MG,Ceara,4-2-3-1,4-2-3-1,A. Ferreira,A. Ferreira,America-MG,estadio raimundo sampaio,2,0,MG,CE,MG
7441,18,2021-08-29,16:00,Domingo,Juventude,Sao Paulo,5-3-2,3-4-1-2,H. Crespo,H. Crespo,-,alfredo jaconi,1,1,RS,SP,-
7442,18,2021-08-29,18:14,Domingo,Atletico-GO,Internacional,4-4-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,-,estadio antonio accioly,0,0,GO,RS,-
7443,18,2021-08-29,20:31,Domingo,Bragantino,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,-,nabizao,1,1,SP,MG,-
7444,18,2021-08-30,19:00,Segunda-feira,Fluminense,Bahia,4-3-3,4-2-3-1,D. Dabove,D. Dabove,Fluminense,maracana,2,0,RJ,BA,RJ
7445,18,2021-08-30,21:30,Segunda-feira,Fortaleza,Cuiaba,3-4-1-2,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,arena castelao,0,0,CE,MT,-
7446,19,2021-09-04,20:59,Sabado,Bahia,Fortaleza,4-2-3-1,3-4-3,J. Vojvoda,J. Vojvoda,Bahia,estadio de pituacu,4,2,BA,CE,BA
7447,19,2021-09-04,21:00,Sabado,Cuiaba,Santos,4-2-3-1,4-3-3,F. Diniz Silva,F. Diniz Silva,Cuiaba,arena pantanal,2,1,MT,SP,MT
7448,19,2021-09-05,18:15,Domingo,Athletico-PR,Sport,4-2-3-1,4-2-3-1,G. Florentín,G. Florentín,-,estadio joaquim americo guimaraes,0,0,PR,PE,-
7449,19,2021-09-07,21:30,Terça-feira,Corinthians,Juventude,4-5-1,4-1-2-1-2,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,neo quimica arena,1,1,SP,RS,-
7450,19,2021-09-07,21:30,Terça-feira,Chapecoense,Fluminense,4-4-2,4-3-3,M. de Oliveira,M. de Oliveira,Fluminense,arena conda,1,2,SC,RJ,RJ
7451,19,2021-09-22,20:31,Quarta-feira,Sao Paulo,America-MG,4-3-1-2,4-1-3-2,V. Carmo Mancini,V. Carmo Mancini,-,morumbi,0,0,SP,MG,-
7452,19,2021-10-20,19:02,Quarta-feira,Ceara,Palmeiras,4-2-3-1,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Palmeiras,arena castelao,1,2,CE,SP,SP
7453,19,2021-10-21,20:00,Quinta-feira,Internacional,Bragantino,4-2-3-1,4-4-2,M. Nogueira Barbieri,M. Nogueira Barbieri,-,estadio jose pinheiro borda,1,1,RS,SP,-
7454,19,2021-11-03,21:00,Quarta-feira,Atletico-MG,Gremio,4-4-2,4-3-3,V. Carmo Mancini,V. Carmo Mancini,Atletico-MG,mineirao,2,1,MG,RS,MG
7455,19,2021-11-05,21:31,Sexta-feira,Flamengo,Atletico-GO,4-4-2,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Flamengo,maracana,2,0,RJ,GO,RJ
7456,20,2021-09-11,16:00,Sabado,America-MG,Athletico-PR,3-4-1-2,4-4-2,P. Autuori de Mello,P. Autuori de Mello,America-MG,estadio raimundo sampaio,2,0,MG,PR,MG
7457,20,2021-09-11,17:00,Sabado,Juventude,Cuiaba,4-3-3,4-2-3-1,J. de Amorim Campos,J. de Amorim Campos,Cuiaba,alfredo jaconi,1,2,RS,MT,MT
7458,20,2021-09-11,18:59,Sabado,Bragantino,Chapecoense,4-2-3-1,4-1-4-1,L. de Oliveira Preto,L. de Oliveira Preto,Chapecoense,nabizao,1,2,SP,SC,SC
7459,20,2021-09-11,21:00,Sabado,Santos,Bahia,4-1-4-1,4-4-2,D. Dabove,D. Dabove,-,estadio urbano caldeira,0,0,SP,BA,-
7460,20,2021-09-12,11:00,Domingo,Gremio,Ceara,4-2-3-1,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Gremio,arena do gremio,2,0,RS,CE,RS
7461,20,2021-09-12,16:00,Domingo,Fortaleza,Atletico-MG,3-4-1-2,4-2-3-1,A. Stival,A. Stival,Atletico-MG,arena castelao,0,2,CE,MG,MG
7462,20,2021-09-12,15:59,Domingo,Palmeiras,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,allianz parque,1,3,SP,RJ,RJ
7463,20,2021-09-12,18:15,Domingo,Atletico-GO,Corinthians,4-4-2,4-5-1,S. Campos Junior,S. Campos Junior,-,estadio antonio accioly,1,1,GO,SP,-
7464,20,2021-09-12,20:30,Domingo,Fluminense,Sao Paulo,4-3-3,3-4-1-2,H. Crespo,H. Crespo,Fluminense,maracana,2,1,RJ,SP,RJ
7465,20,2021-09-13,20:00,Segunda-feira,Sport,Internacional,5-3-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Internacional,adelmar da costa carvalho,0,1,PE,RS,RS
7466,21,2021-09-18,17:00,Sabado,Chapecoense,Palmeiras,4-4-2,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Palmeiras,arena conda,0,2,SC,SP,SP
7467,21,2021-09-18,18:45,Sabado,Athletico-PR,Juventude,3-4-2-1,4-2-3-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Athletico-PR,estadio joaquim americo guimaraes,2,1,PR,RS,PR
7468,21,2021-09-18,19:01,Sabado,Atletico-MG,Sport,4-2-3-1,4-2-3-1,G. Florentín,G. Florentín,Atletico-MG,mineirao,3,0,MG,PE,MG
7469,21,2021-09-18,21:00,Sabado,Bahia,Bragantino,4-3-3,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,-,itaipava arena fonte nova,1,1,BA,SP,-
7470,21,2021-09-18,20:59,Sabado,Ceara,Santos,4-2-3-1,3-4-3,F. Carille,F. Carille,-,arena castelao,0,0,CE,SP,-
7471,21,2021-09-19,11:01,Domingo,Internacional,Fortaleza,4-2-3-1,3-4-1-2,J. Vojvoda,J. Vojvoda,Internacional,estadio jose pinheiro borda,1,0,RS,CE,RS
7472,21,2021-09-19,16:01,Domingo,Sao Paulo,Atletico-GO,4-3-3,4-4-2,E. de Souza Barroca,E. de Souza Barroca,Sao Paulo,morumbi,2,1,SP,GO,SP
7473,21,2021-09-19,18:15,Domingo,Corinthians,America-MG,4-3-3,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,-,neo quimica arena,1,1,SP,MG,-
7474,21,2021-09-19,20:30,Domingo,Flamengo,Gremio,4-2-3-1,4-2-3-1,L. Scolari,L. Scolari,Gremio,maracana,0,1,RJ,RS,RS
7475,21,2021-09-20,20:00,Segunda-feira,Cuiaba,Fluminense,4-2-3-1,4-3-3,M. de Oliveira,M. de Oliveira,-,arena pantanal,2,2,MT,RJ,-
7476,22,2021-09-25,17:00,Sabado,Ceara,Chapecoense,4-2-3-1,4-1-4-1,L. de Oliveira Preto,L. de Oliveira Preto,Ceara,arena castelao,1,0,CE,SC,CE
7477,22,2021-09-25,19:00,Sabado,Corinthians,Palmeiras,4-3-3,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Corinthians,neo quimica arena,2,1,SP,SP,SP
7478,22,2021-09-25,21:00,Sabado,Sao Paulo,Atletico-MG,3-4-1-2,3-5-2,A. Stival,A. Stival,-,morumbi,0,0,SP,MG,-
7479,22,2021-09-26,11:04,Domingo,America-MG,Flamengo,4-2-3-1,4-3-3,Renato Gaúcho,Renato Gaúcho,-,estadio raimundo sampaio,1,1,MG,RJ,-
7480,22,2021-09-26,16:00,Domingo,Internacional,Bahia,4-2-3-1,4-4-2,D. Dabove,D. Dabove,Internacional,estadio jose pinheiro borda,2,0,RS,BA,RS
7481,22,2021-09-26,16:00,Domingo,Fluminense,Bragantino,4-3-3,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Fluminense,maracana,2,1,RJ,SP,RJ
7482,22,2021-09-26,16:00,Domingo,Juventude,Santos,3-4-2-1,3-4-1-2,F. Carille,F. Carille,Juventude,alfredo jaconi,3,0,RS,SP,RS
7483,22,2021-09-26,18:16,Domingo,Sport,Fortaleza,4-2-3-1,3-4-1-2,J. Vojvoda,J. Vojvoda,Fortaleza,arena de pernambuco,0,1,PE,CE,CE
7484,22,2021-09-26,18:15,Domingo,Athletico-PR,Gremio,3-4-2-1,4-2-3-1,L. Scolari,L. Scolari,Athletico-PR,estadio joaquim americo guimaraes,4,2,PR,RS,PR
7485,22,2021-09-26,20:30,Domingo,Atletico-GO,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,estadio antonio accioly,0,0,GO,MT,-
7486,23,2021-10-02,17:01,Sabado,Cuiaba,America-MG,4-2-3-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,America-MG,arena pantanal,0,2,MT,MG,MG
7487,23,2021-10-02,17:01,Sabado,Fortaleza,Atletico-GO,3-4-1-2,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Atletico-GO,arena castelao,0,3,CE,GO,GO
7488,23,2021-10-02,19:00,Sabado,Bragantino,Corinthians,4-2-3-1,4-1-4-1,S. Campos Junior,S. Campos Junior,-,nabizao,2,2,SP,SP,-
7489,23,2021-10-02,21:00,Sabado,Atletico-MG,Internacional,4-4-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Atletico-MG,mineirao,1,0,MG,RS,MG
7490,23,2021-10-03,16:00,Domingo,Flamengo,Athletico-PR,4-4-2,3-4-2-1,B. Lazaroni,B. Lazaroni,Flamengo,maracana,3,0,RJ,PR,RJ
7491,23,2021-10-03,16:00,Domingo,Chapecoense,Sao Paulo,4-1-4-1,3-4-1-2,H. Crespo,H. Crespo,-,arena conda,1,1,SC,SP,-
7492,23,2021-10-03,18:15,Domingo,Palmeiras,Juventude,4-1-4-1,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,allianz parque,1,1,SP,RS,-
7493,23,2021-10-03,20:30,Domingo,Gremio,Sport,4-2-3-1,4-1-4-1,G. Florentín,G. Florentín,Sport,arena do gremio,1,2,RS,PE,PE
7494,23,2021-10-27,18:59,Quarta-feira,Santos,Fluminense,3-4-3,4-2-3-1,M. de Oliveira,M. de Oliveira,Santos,estadio urbano caldeira,2,0,SP,RJ,SP
7495,23,2021-10-27,19:00,Quarta-feira,Bahia,Ceara,4-1-4-1,4-4-2,T. Retzalff Nunes,T. Retzalff Nunes,-,itaipava arena fonte nova,1,1,BA,CE,-
7496,24,2021-10-05,21:30,Terça-feira,Corinthians,Bahia,4-1-4-1,4-4-2,D. Dabove,D. Dabove,Corinthians,neo quimica arena,3,1,SP,BA,SP
7497,24,2021-10-06,18:59,Quarta-feira,Chapecoense,Atletico-MG,4-4-2,4-2-3-1,A. Stival,A. Stival,-,arena conda,2,2,SC,MG,-
7498,24,2021-10-06,19:00,Quarta-feira,Atletico-GO,Athletico-PR,4-2-3-1,3-4-2-1,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,Athletico-PR,estadio antonio accioly,0,2,GO,PR,PR
7499,24,2021-10-06,19:00,Quarta-feira,Sport,Juventude,4-2-3-1,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Sport,arena de pernambuco,3,1,PE,RS,PE
7500,24,2021-10-06,19:00,Quarta-feira,Ceara,Internacional,4-2-3-1,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,-,arena castelao,0,0,CE,RS,-
7501,24,2021-10-06,20:30,Quarta-feira,Bragantino,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,-,nabizao,1,1,SP,RJ,-
7502,24,2021-10-06,21:30,Quarta-feira,Fluminense,Fortaleza,4-3-3,3-4-2-1,J. Vojvoda,J. Vojvoda,Fortaleza,maracana,0,2,RJ,CE,CE
7503,24,2021-10-06,21:30,Quarta-feira,America-MG,Palmeiras,4-2-3-1,3-4-2-1,A. Moreira Ferreira,A. Moreira Ferreira,America-MG,estadio raimundo sampaio,2,1,MG,SP,MG
7504,24,2021-10-06,21:29,Quarta-feira,Gremio,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,arena do gremio,2,2,RS,MT,-
7505,24,2021-10-07,18:30,Quinta-feira,Sao Paulo,Santos,4-2-3-1,3-5-2,F. Carille,F. Carille,-,morumbi,1,1,SP,SP,-
7506,25,2021-10-09,16:30,Sabado,Fluminense,Atletico-GO,4-3-3,4-4-2,E. do Nascimento Souza,E. do Nascimento Souza,-,maracana,0,0,RJ,GO,-
7507,25,2021-10-09,16:30,Sabado,Atletico-MG,Ceara,4-2-3-1,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Atletico-MG,mineirao,3,1,MG,CE,MG
7508,25,2021-10-09,16:30,Sabado,Sport,Corinthians,4-1-4-1,4-1-4-1,S. Campos Junior,S. Campos Junior,Sport,arena de pernambuco,1,0,PE,SP,PE
7509,25,2021-10-09,19:00,Sabado,Fortaleza,Flamengo,5-4-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,arena castelao,0,3,CE,RJ,RJ
7510,25,2021-10-09,19:00,Sabado,Athletico-PR,Bahia,3-4-2-1,4-2-3-1,A. Ferreira,A. Ferreira,Bahia,estadio joaquim americo guimaraes,0,2,PR,BA,BA
7511,25,2021-10-09,20:59,Sabado,Palmeiras,Bragantino,3-5-2,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Bragantino,allianz parque,2,4,SP,SP,SP
7512,25,2021-10-09,21:00,Sabado,Juventude,America-MG,4-3-3,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,-,alfredo jaconi,1,1,RS,MG,-
7513,25,2021-10-10,10:59,Domingo,Internacional,Chapecoense,4-2-3-1,4-4-2,L. de Oliveira Preto,L. de Oliveira Preto,Internacional,estadio jose pinheiro borda,5,2,RS,SC,RS
7514,25,2021-10-10,16:00,Domingo,Santos,Gremio,3-4-1-2,3-4-2-1,L. Scolari,L. Scolari,Santos,estadio urbano caldeira,1,0,SP,RS,SP
7515,25,2021-10-11,20:00,Segunda-feira,Cuiaba,Sao Paulo,4-4-2,4-2-3-1,H. Crespo,H. Crespo,-,arena pantanal,0,0,MT,SP,-
7516,26,2021-10-12,19:00,Terça-feira,Bragantino,Atletico-GO,4-2-3-1,4-2-3-1,J. P. Sanches,J. P. Sanches,Bragantino,nabizao,1,0,SP,GO,SP
7517,26,2021-10-12,21:30,Terça-feira,Bahia,Palmeiras,4-2-3-1,4-4-2,A. Moreira Ferreira,A. Moreira Ferreira,-,itaipava arena fonte nova,0,0,BA,SP,-
7518,26,2021-10-13,18:59,Quarta-feira,Atletico-MG,Santos,4-2-3-1,3-4-1-2,F. Carille,F. Carille,Atletico-MG,mineirao,3,1,MG,SP,MG
7519,26,2021-10-13,18:59,Quarta-feira,Chapecoense,Athletico-PR,5-3-2,3-4-3,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,-,arena conda,1,1,SC,PR,-
